epoch,lr,train_loss,train_acc,val_loss,val_acc,seconds
1,5.00e-04,4.3165,13.43,3.3091,27.54,80
2,1.00e-03,3.2444,34.76,2.5249,39.09,49
3,1.00e-03,2.6614,51.37,2.1643,48.10,50
4,7.50e-04,2.3356,63.21,1.9662,53.55,50
5,2.51e-04,2.1248,72.42,1.8785,57.36,49
